product_group,Código,Designação,TUnd,source_file
Mirtazapina,5954888,"Mirtazapina KRKA MG, 15 mg Blister 60 Unidade(s) Comp orodisp...[60]",25.0,genericos.csv
Mirtazapina,5106935,"Mirtazapina Generis MG, 30 mg Blister 30 Unidade(s) Comp orodisp...[30]",23.0,genericos.csv
Mirtazapina,5644612,"Mirtazapina Aurovitas MG, 15 mg Blister 56 Unidade(s) Comp revest pelic...[56]",22.0,genericos.csv
Mirtazapina,5053046,"Mirtazapina Sandoz MG, 30 mg Blister 30 Unidade(s) Comp orodisp...[30]",21.0,genericos.csv
Mirtazapina,5955588,"Mirtazapina KRKA MG, 30 mg Blister 60 Unidade(s) Comp orodisp...[60]",18.0,genericos.csv
Mirtazapina,5053020,"Mirtazapina Sandoz MG, 15 mg Blister 30 Unidade(s) Comp orodisp...[30]",18.0,genericos.csv
Mirtazapina,5719836,"Mirtazapina Generis MG, 15 mg Blister 30 Unidade(s) Comp revest pelic...[30]",17.0,genericos.csv
Mirtazapina,5947783,"Mirtazapina Alter MG, 45 mg Blister 30 Unidade(s) Comp orodisp...[30]",16.0,genericos.csv
Mirtazapina,5658299,"Mirtazapina ToLife 15 mg Comprimidos MG, 15 mg Blister 30 Unidade(s) Comp revest pelic...[30]",15.0,genericos.csv
Mirtazapina,5956081,"Mirtazapina KRKA MG, 45 mg Blister 30 Unidade(s) Comp orodisp...[30]",11.0,genericos.csv
Mirtazapina,5042478,"Mirtazapina Mylan MG, 15 mg Blister 30 Unidade(s) Comp orodisp...[30]",8.0,genericos.csv
